
422 rows returned

id     | filename                                                                                                                                | filepath                                                                                                                                                                          | sourceintegratedlufs | sourceloudnessrangelu | sourcetruepeakdbtp | transcodedbymediavortex | pass_count | category       
682671 | Family Guy - S19E06 - Meg's Wedding WEBDL-480p-mv-mv.mp4                                                                                | T:\Family Guy\Season 19\Family Guy - S19E06 - Meg's Wedding WEBDL-480p-mv-mv.mp4                                                                                                  | -20.4                | 8.7                   | 1.2                | True                    | 2          | severe_clipping
682932 | Adventure Time - S05E30 - Frost & Fire Bluray-480p-mv.mp4                                                                               | T:\Adventure Time\Season 5\Adventure Time - S05E30 - Frost & Fire Bluray-480p-mv.mp4                                                                                              | -15.5                | 11.6                  | 1.2                | None                    | 1          | severe_clipping
682597 | Pokémon - S05E46 - Why! Wynaut! DVD_temp-mv-mv.mp4                                                                                      | T:\Pokémon\Season 5\Pokémon - S05E46 - Why! Wynaut! DVD_temp-mv-mv.mp4                                                                                                            | -14.2                | 8.0                   | 1.2                | True                    | 2          | severe_clipping
683048 | Boardwalk Empire - S02E02 - Ourselves Alone Bluray-720p-mv.mp4                                                                          | T:\Boardwalk Empire\Season 2\Boardwalk Empire - S02E02 - Ourselves Alone Bluray-720p-mv.mp4                                                                                       | -23.9                | 21.6                  | 1.1                | None                    | 1          | severe_clipping
683992 | Pokémon - S06E28 - Seeing is Believing! DVD-mv.mp4                                                                                      | T:\Pokémon\Season 6\Pokémon - S06E28 - Seeing is Believing! DVD-mv.mp4                                                                                                            | -11.6                | 7.5                   | 1.1                | None                    | 1          | severe_clipping
682451 | Phineas and Ferb - S01E06 - Raging Bully WEBDL-720p-mv.mp4                                                                              | T:\Phineas and Ferb\Season 1\Phineas and Ferb - S01E06 - Raging Bully WEBDL-720p-mv.mp4                                                                                           | -9.0                 | 4.6                   | 1.1                | None                    | 1          | severe_clipping
682362 | Watchmen - S01E08 - A God Walks into Abar WEBRip-720p-mv.mp4                                                                            | T:\Watchmen\Season 1\Watchmen - S01E08 - A God Walks into Abar WEBRip-720p-mv.mp4                                                                                                 | -24.4                | 13.6                  | 1.0                | None                    | 1          | clipping       
682526 | Fargo - S05E03 - The Paradox of Intermediate Transactions WEBDL-480p-mv.mp4                                                             | T:\Fargo\Season 5\Fargo - S05E03 - The Paradox of Intermediate Transactions WEBDL-480p-mv.mp4                                                                                     | -23.7                | 19.2                  | 1.0                | None                    | 1          | clipping       
683712 | Star Trek - Strange New Worlds - S03E06 - The Sehlat Who Ate Its Tail WEBDL-720p-mv.mp4                                                 | T:\Star Trek - Strange New Worlds\Season 3\Star Trek - Strange New Worlds - S03E06 - The Sehlat Who Ate Its Tail WEBDL-720p-mv.mp4                                                | -20.6                | 18.4                  | 1.0                | None                    | 1          | clipping       
682672 | Family Guy - S19E12 - And Then There's Fraud SDTV-mv.mp4                                                                                | T:\Family Guy\Season 19\Family Guy - S19E12 - And Then There's Fraud SDTV-mv.mp4                                                                                                  | -20.1                | 7.8                   | 1.0                | None                    | 1          | clipping       
683010 | Dragon Ball Z - S07E01 - Warriors of the Dead Bluray-480p-mv.mp4                                                                        | T:\Dragon Ball Z\Season 7\Dragon Ball Z - S07E01 - Warriors of the Dead Bluray-480p-mv.mp4                                                                                        | -20.0                | 9.0                   | 1.0                | None                    | 1          | clipping       
682540 | Psych - S01E15 - Scary Sherry - Bianca's Toast Bluray-720p-mv-mv.mp4                                                                    | T:\Psych\Season 1\Psych - S01E15 - Scary Sherry - Bianca's Toast Bluray-720p-mv-mv.mp4                                                                                            | -12.7                | 10.8                  | 1.0                | True                    | 2          | clipping       
682419 | The Acolyte - S01E04 - Day WEBDL-480p-mv.mp4                                                                                            | T:\The Acolyte\Season 1\The Acolyte - S01E04 - Day WEBDL-480p-mv.mp4                                                                                                              | -23.2                | 17.3                  | 0.9                | None                    | 1          | clipping       
683709 | Star Trek - Strange New Worlds - S02E05 - Charades WEBRip-720p-mv.mp4                                                                   | T:\Star Trek - Strange New Worlds\Season 2\Star Trek - Strange New Worlds - S02E05 - Charades WEBRip-720p-mv.mp4                                                                  | -21.1                | 16.7                  | 0.9                | None                    | 1          | clipping       
683195 | Welcome to Flatch - S02E03 - Maniflatch Destiny SDTV-mv-mv.mp4                                                                          | T:\Welcome to Flatch\Season 2\Welcome to Flatch - S02E03 - Maniflatch Destiny SDTV-mv-mv.mp4                                                                                      | -20.0                | 8.9                   | 0.9                | True                    | 2          | clipping       
682461 | Dragon Ball Z - S09E02 - Buu Against Buu Bluray-720p-mv.mp4                                                                             | T:\Dragon Ball Z\Season 9\Dragon Ball Z - S09E02 - Buu Against Buu Bluray-720p-mv.mp4                                                                                             | -18.7                | 13.1                  | 0.9                | None                    | 1          | clipping       
683886 | Bonus Extended Scenes-mv.mp4                                                                                                            | T:\Firefly\Specials\Bonus Extended Scenes-mv.mp4                                                                                                                                  | -32.3                | 12.0                  | 0.8                | None                    | 1          | clipping       
683013 | Pushing Daisies - S01E04 - Pigeon SDTV-mv.mp4                                                                                           | T:\Pushing Daisies\Season 1\Pushing Daisies - S01E04 - Pigeon SDTV-mv.mp4                                                                                                         | -27.5                | 7.9                   | 0.8                | None                    | 1          | clipping       
684030 | Cobra Kai - S03E06 - King Cobra WEBDL-720p-mv.mp4                                                                                       | T:\Cobra Kai\Season 3\Cobra Kai - S03E06 - King Cobra WEBDL-720p-mv.mp4                                                                                                           | -22.8                | 17.3                  | 0.8                | None                    | 1          | clipping       
683109 | The Walking Dead - S09E10 - Omega WEBRip-720p-mv.mp4                                                                                    | T:\The Walking Dead\Season 9\The Walking Dead - S09E10 - Omega WEBRip-720p-mv.mp4                                                                                                 | -22.8                | 23.7                  | 0.8                | None                    | 1          | clipping       
684041 | Ironheart - S01E04 - Bad Magic WEBDL-480p-mv.mp4                                                                                        | T:\Ironheart\Season 1\Ironheart - S01E04 - Bad Magic WEBDL-480p-mv.mp4                                                                                                            | -21.8                | 20.1                  | 0.8                | None                    | 1          | clipping       
683222 | Brooklyn Nine-Nine - S01E08 - Old School WEBDL-720p-mv.mp4                                                                              | T:\Brooklyn Nine-Nine\Season 1\Brooklyn Nine-Nine - S01E08 - Old School WEBDL-720p-mv.mp4                                                                                         | -19.7                | 6.0                   | 0.8                | None                    | 1          | clipping       
683301 | Arrested Development - S04E12 - Señoritis HDTV-720p-mv-mv.mp4                                                                           | T:\Arrested Development\Season 4\Arrested Development - S04E12 - Señoritis HDTV-720p-mv-mv.mp4                                                                                    | -19.3                | 6.3                   | 0.8                | True                    | 2          | clipping       
682934 | Adventure Time - S05E40 - Play Date Bluray-480p-mv.mp4                                                                                  | T:\Adventure Time\Season 5\Adventure Time - S05E40 - Play Date Bluray-480p-mv.mp4                                                                                                 | -18.1                | 9.6                   | 0.8                | None                    | 1          | clipping       
683082 | Phineas and Ferb - S03E53 - Doofapus WEBDL-720p-mv-mv.mp4                                                                               | T:\Phineas and Ferb\Season 3\Phineas and Ferb - S03E53 - Doofapus WEBDL-720p-mv-mv.mp4                                                                                            | -10.8                | 6.7                   | 0.8                | True                    | 2          | clipping       
683872 | WondLa - S02E01 - Chapter 8 - Home WEBDL-480p-mv.mp4                                                                                    | T:\WondLa\Season 2\WondLa - S02E01 - Chapter 8 - Home WEBDL-480p-mv.mp4                                                                                                           | -24.2                | 15.4                  | 0.7                | None                    | 1          | clipping       
683822 | Arrow - S07E10 - My Name is Emiko Queen HDTV-720p-mv.mp4                                                                                | T:\Arrow\Season 7\Arrow - S07E10 - My Name is Emiko Queen HDTV-720p-mv.mp4                                                                                                        | -21.3                | 18.1                  | 0.7                | None                    | 1          | clipping       
39805  | Malcolm in the Middle - S06E04 - Pearl Harbor WEBDL-1080p-mv.mp4                                                                        | T:\Malcolm in the Middle\Season 6\Malcolm in the Middle - S06E04 - Pearl Harbor WEBDL-1080p-mv.mp4                                                                                | -21.3                | 14.6                  | 0.7                | True                    | 1          | clipping       
682477 | That '70s Show - S06E05 - I'm Free Bluray-480p-mv-mv.mp4                                                                                | T:\That '70s Show\Season 6\That '70s Show - S06E05 - I'm Free Bluray-480p-mv-mv.mp4                                                                                               | -20.2                | 10.0                  | 0.7                | True                    | 2          | clipping       
682905 | Dragon Ball Z - S01E17 - Pendulum Room Peril Bluray-480p-mv.mp4                                                                         | T:\Dragon Ball Z\Season 1\Dragon Ball Z - S01E17 - Pendulum Room Peril Bluray-480p-mv.mp4                                                                                         | -18.3                | 13.7                  | 0.7                | None                    | 1          | clipping       
684046 | One Piece - S15E09 - Disaster in the Deep Sea, The Straw Hat Crew Gets Lost! HDTV-1080p-mv.mp4                                          | T:\One Piece\Season 15\One Piece - S15E09 - Disaster in the Deep Sea, The Straw Hat Crew Gets Lost! HDTV-1080p-mv.mp4                                                             | -17.8                | 11.6                  | 0.7                | None                    | 1          | clipping       
682600 | Pokémon - S05E63 - Johto Photo Finish DVD-mv-mv.mp4                                                                                     | T:\Pokémon\Season 5\Pokémon - S05E63 - Johto Photo Finish DVD-mv-mv.mp4                                                                                                           | -12.1                | 10.2                  | 0.7                | True                    | 2          | clipping       
683898 | iZombie - S02E11 - Fifty Shades of Grey Matter WEBDL-480p-mv.mp4                                                                        | T:\iZombie\Season 2\iZombie - S02E11 - Fifty Shades of Grey Matter WEBDL-480p-mv.mp4                                                                                              | -23.3                | 12.4                  | 0.6                | None                    | 1          | clipping       
683711 | Star Trek - Strange New Worlds - S02E07 - Those Old Scientists WEBRip-480p-mv.mp4                                                       | T:\Star Trek - Strange New Worlds\Season 2\Star Trek - Strange New Worlds - S02E07 - Those Old Scientists WEBRip-480p-mv.mp4                                                      | -23.0                | 14.4                  | 0.6                | None                    | 1          | clipping       
683899 | iZombie - S01E05 - Flight of the Living Dead WEBDL-480p-mv.mp4                                                                          | T:\iZombie\Season 1\iZombie - S01E05 - Flight of the Living Dead WEBDL-480p-mv.mp4                                                                                                | -22.7                | 12.1                  | 0.6                | None                    | 1          | clipping       
